,Names,Country,Year,Links
78,Franco Michelli S.A.,Argentina ,2022,https://responsiblesoy.org/wp-content/uploads/2022/04/2022_Informe-Publico_Francho-Michelli-S.A.-1.pdf
79,Administración Enrique Duhau S.A.A.G.,Argentina ,2021,https://responsiblesoy.org/wp-content/uploads/2022/04/2021_Informe-Publico_Administracion-Duhau-S.A.A.G.pdf
80,Cusillos S.R.L.,Argentina ,2021,https://responsiblesoy.org/wp-content/uploads/2022/04/2021_Informe-Publico_Cusillos-S.R.L..pdf
81,Fazenda Nossa Senhora Aparecida,Brazil ,2021,https://responsiblesoy.org/wp-content/uploads/2022/03/2021_Informe-Publico_Fazenda-Nossa-Senhora-Aparecida.pdf
82,Francisco Sellart S.A.,Argentina ,2021,https://responsiblesoy.org/wp-content/uploads/2022/03/2021_Informe-Publico_Francisco-Sellart-S.A..pdf
83,Don Osvaldo S.A.,Argentina ,2021,https://responsiblesoy.org/wp-content/uploads/2022/02/2021_Informe-Publico_Don-Osvaldo-S.A..pdf
84,Agropecuaria Patagónica del Sur S.A.,Argentina ,2021,https://responsiblesoy.org/wp-content/uploads/2022/02/2021_Informe-Publico_Agropecuaria-Patagonica-del-Sur.pdf
85,Amaggi Exp. e Imp. Ltda – Grupo Parecis II,Brazil ,2021,https://responsiblesoy.org/wp-content/uploads/2022/02/2021_Informe-Publico_Amaggi-Exp-Imp-Ltda–Grupo-Parecis-II-EU-REDII-.pdf
86,Agroalas S.R.L.,Argentina ,2021,https://responsiblesoy.org/wp-content/uploads/2022/02/2021_Informe-Publico_Agroalas-S.R.L..pdf
87,Los Grobo Agropecuaria S.A.,Argentina ,2021,https://responsiblesoy.org/wp-content/uploads/2022/02/2021_Informe-Publico_-Los-Grobo-Agropecuaria-S.A..pdf
88,Pradoten S.A.,Uruguay ,2021,https://responsiblesoy.org/wp-content/uploads/2022/02/2021_Informe-Publico_Pradoten-S.A..pdf
89,Chacra La Perdiz S.A.S,Argentina ,2021,https://responsiblesoy.org/wp-content/uploads/2022/01/2021_Informe-Publico_Chacra-La-Perdiz-S.A.S..pdf
90,Bom Jesus Agropecuaria LTDA - Fazenda Mirandópolis,Brazil ,2021,https://responsiblesoy.org/wp-content/uploads/2022/01/2021_Informe-Publico_Bom-Jesus-Agropecuaria-Ltda-Fazenda-Mirandopolis.pdf
91,Fazenda Lagoa Dourada,Brazil ,2021,https://responsiblesoy.org/wp-content/uploads/2022/01/2021_Informe-Publico_Fazenda-Lagoa-Dourada.pdf
92,CRESOL - Estrada de Ferro,Brazil ,2021,https://responsiblesoy.org/wp-content/uploads/2022/01/2021_Informe-Publico_CRESOL-Estrada-de-Ferro.pdf
93,Hijas de Juan Harriet S.A.,Argentina ,2021,https://responsiblesoy.org/wp-content/uploads/2022/01/2021_Informe-Publico_Hijas-de-Juan-Harriet-S.A..pdf
94,S y D Lafuente S.A.,Argentina ,2021,https://responsiblesoy.org/wp-content/uploads/2022/01/2021_Informe-Publico_S-y-D-Lafuente-S.A..pdf
95,Grupo Hervalense,Brazil ,2021,https://responsiblesoy.org/wp-content/uploads/2022/01/2021_Informe-Publico_Grupo-Hervalense.pdf
96,GGF - Agro LTDA,Brazil ,2021,https://responsiblesoy.org/wp-content/uploads/2022/01/2021_Informe-Publico_GGF-Agro-LTDA.pdf
97,Ledesma S.A.A.I.,Argentina ,2021,https://responsiblesoy.org/wp-content/uploads/2022/01/2021_Informe-Publico_Ledesma-SAAI.pdf
98,Fazenda Modelo (Eswalter Zanetti e Outros),Brazil ,2021,https://responsiblesoy.org/wp-content/uploads/2022/01/2021_Informe-Publico_Fazenda-Modelo.pdf
