,Organization,Names,Year,Links,RegTag,Companies,Total_Production,Issue_Date,Expiration_Date,Total_Farm_Area,n_members,Type,1_1_criteria,1_2_criteria,1_3_criteria,2_1_criteria,2_2_criteria,2_3_criteria,2_4_criteria,2_5_criteria,3_1_criteria,3_2_criteria,3_3_criteria,3_4_criteria,4_1_criteria,4_2_criteria,4_3_criteria,4_4_criteria,4_5_criteria,5_1_criteria,5_2_criteria,5_3_criteria,5_4_criteria,5_5_criteria,5_6_criteria,5_7_criteria,5_8_criteria,5_9_criteria,5_10_criteria,5_11_criteria,score_per_enterprise,Yield,cluster
104,GGF Agro,GGF - Guerino Ferrarin e Outros,2020,https://responsiblesoy.org/wp-content/uploads/2020/03/2019_Informe-Publico_GGF-Guerio-Ferrarin-e-Outros-4.pdf,RTRS CUC AGR 0071 18 12 2019,Control Union,54609.71,27/03/18,26/03/23,17856.0,2,Multi-Site,1,2,-2,-2,1,1,0,1,2,1,1,2,-1,-1,1,-2,1,1,2,1,2,-2,-2,1,1,1,1,-2,9,3.0583394937275985,0
105,O Telhar Agropecuária ,O Telhar Agropecuária LTDA,2019,https://responsiblesoy.org/wp-content/uploads/2020/03/2019_Informe-Publico_O-Telhar-Agropecuaria-LTDA.pdf,RTRS CUC AGR 0062 27 03 2018,Control Union,54609.71,27/03/18,26/03/23,17856.0,2,Multi-Site,1,2,-2,-2,1,1,0,1,2,1,1,2,-1,-1,1,-2,1,1,2,1,2,-2,-2,1,1,1,1,-2,9,3.0583394937275985,0
106,SLC Agrícola,SLC Agricola SA,2019,https://responsiblesoy.org/wp-content/uploads/2021/03/2019-SLC-Informe-1.pdf,RTRS CERTID AGR COC 0006,Cert Id Certificadora,212755.0,17/08/17,17/08/21,3298.08,7,Multi-Site,1,1,1,-2,2,2,-2,0,1,0,1,1,0,0,1,0,-2,1,0,1,1,-2,-2,-2,1,1,1,-2,2,64.5087444816378,2
107,Saag Comercial Exportadora ,Saag Comercial Exportadora Ltda,2019,https://responsiblesoy.org/wp-content/uploads/2020/03/2019_Informe-Publico_Saag-Comercial-Exportadora-Ltda.pdf,RTRS CUC AGR COC 0020,Control Union,35088.87,11/06/18,10/06/23,11696.29,9,Group,1,2,1,-2,1,1,0,-1,1,1,1,-2,1,1,1,0,1,1,0,1,-2,1,-2,-2,0,1,2,-2,5,3.0,2
108,GGF Agro,GGF-Guerio Ferrarin e Outros,2019,https://responsiblesoy.org/wp-content/uploads/2020/03/2019_Informe-Publico_GGF-Guerio-Ferrarin-e-Outros-1.pdf,RTRS CUC AGR 0071 18 12 2019,Control Union,27251.5,18/12/19,17/12/24,6924.0,1,Individual,1,2,1,-2,1,1,0,1,1,-2,1,1,1,1,1,1,1,1,1,1,2,1,-2,1,1,1,0,-2,15,3.935803004043905,0
109,Bartira Agropecuária,Fazendas Bartira,2019,https://responsiblesoy.org/wp-content/uploads/2020/03/2019_Informe-Publico_Fazendas-Bartira.pdf,RTRS CUC AGR COC0064,Control Union,123763.0,19/07/18,18/07/23,37985.0,7,Multi-Site,-2,1,1,-2,1,1,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,-2,1,1,0,1,19,3.258207187047519,0
110,Fazenda Nossa Senhora Aparecida,Fazenda Nossa Senhora Aparecida,2019,https://responsiblesoy.org/wp-content/uploads/2020/03/2019_Informe-Publico_Fazenda-Nossa-Senhora-Aparecida.pdf,RTRS CUC AGR 0060 13 03 2018,Control Union,7469.0,13/03/18,12/03/23,1556.0,1,Individual,-2,2,1,-2,1,1,0,1,1,-2,1,1,1,1,-2,1,-2,1,2,1,2,0,-2,1,1,1,0,-2,9,4.8001285347043705,0
111,Fundação de Apoio à Pesquisa do Corredor de Exportação Norte Irineu Alcides Bays,FAPCEN,2019,https://responsiblesoy.org/wp-content/uploads/2020/03/2019_Informe-Publico_FAPCEN-1.pdf,RTRS CUC AGR 0047,Control Union,155914.0,14/06/16,13/06/21,61143.57,4,Group,1,2,1,-2,1,1,-2,-1,-2,1,-2,-2,-1,-2,1,-2,1,1,0,1,1,1,-2,0,1,-2,1,-2,-8,2.549965597363713,2
112,Cresol Estrada de Ferro,CRESOL -  Estrada de Ferro,2019,https://responsiblesoy.org/wp-content/uploads/2020/03/2019_Informe-Publico_CRESOL.pdf,RTRS CERTID AGR 0005,Cert Id Certificadora,30125.0,13/07/17,12/07/22,8469.58,15,Group,1,0,-2,-2,-2,-1,-2,-2,1,-2,0,2,1,-2,-2,1,-2,-2,1,-2,1,-1,-2,-2,-1,1,-2,-2,-25,3.5568469747024056,1
113,Cerquality Consultoria em Sustentabilidade e Certificação,CerQuality Consultoria em Sustentabilidade e Certificação Ltda Grupo III,2019,https://responsiblesoy.org/wp-content/uploads/2020/03/2019_Informe-Publico_Cerquality.pdf,RTRS CUC AGR 0048 11 07 2016,Control Union,303306.5,11/07/16,10/07/21,97234.76,15,Group,1,2,1,-2,1,1,-2,-1,1,1,1,-2,-1,1,1,-1,1,1,1,1,1,1,-2,1,-2,-2,1,-2,1,3.1193217322694067,2
