"Ticker","Nome","Negócios","Última (R$)","Variação"
"SOJA3","Boa Safra Sementes","202.700","15,44","-2,89%"
"MELK3","Melnick","200.400","4,45","+0,00%"
"FIQE3","Unifique","199.300","3,72","-1,33%"
"CRIV4","Alfa Financeira","178.600","6,30","+0,00%"
"SGPS3","Springs","170.900","1,13","-1,74%"
"UNIP6","Unipar","168.000","68,70","-1,86%"
"VIVR3","Viver","157.900","4,10","-5,09%"
"LAND3","Terra Santa","156.000","14,68","-2,13%"
"TAEE3","Taesa","143.100","12,00","-1,07%"
"TGMA3","Tegma","134.900","25,96","-2,22%"
"BOBR4","Bombril","130.400","2,33","+1,75%"
"SANB3","Banco Santander","130.300","13,36","-2,48%"
"ITSA3","Itaúsa","119.800","10,31","-1,25%"
"POMO3","Marcopolo","116.700","6,29","-1,10%"
"ALPK3","Estapar","108.500","4,19","-1,87%"
"SANB4","Banco Santander","102.500","15,05","-1,89%"
"RNEW4","Renova Energia","100.800","1,28","+1,59%"
"LPSB3","Lopes","97.900","2,17","-2,25%"
"CSUD3","CSU Cardsystem","91.500","18,51","-1,33%"
"TECN3","Technos","91.100","3,41","+0,59%"
"DESK3","Desktop","90.200","12,30","-3,38%"
"KRSA3","Kora Saúde","79.300","0,93","-2,11%"
"SHOW3","Time For Fun","75.100","2,06","+0,49%"
"DMVF3","D1000 Varejo Farma","74.500","6,07","-0,65%"
"ELMD3","Eletromidia","69.700","17,65","+0,80%"
"INEP3","Inepar","66.000","3,81","-4,75%"
"DEXP3","Dexxos","65.500","12,11","-3,12%"
"RNEW3","Renova Energia","60.300","1,29","+1,57%"
"CTNM4","Coteminas","58.800","1,38","-1,43%"
"BIOM3","Biomm","58.000","5,22","-1,32%"
"WHRL4","Whirlpool","54.300","4,61","+0,44%"
"AALR3","Alliança","52.100","8,13","-2,87%"
"RSID3","Rossi Residencial","51.600","3,71","+3,06%"
"CTSA4","Santanense","51.100","1,76","-1,68%"
"GGBR3","Gerdau","48.800","20,06","-1,23%"
"TPIS3","Triunfo","46.600","3,90","-0,51%"
"CAMB3","Cambuci","45.900","11,33","+3,00%"
"TCSA3","Tecnisa","42.500","3,00","-3,23%"
"BRAP3","Bradespar","42.300","20,59","-1,01%"
"WEST3","Westwing","41.200","1,20","-0,83%"
"GOAU3","Metalúrgica Gerdau","38.200","10,38","-0,48%"
"INEP4","Inepar","37.700","3,36","+0,90%"
"SNSY3","Sansuy","37.000","10,37","+12,60%"
"PDTC3","Padtec","35.600","3,09","-0,32%"
"ALLD3","Allied","35.300","6,80","-3,95%"
"EUCA4","Eucatex","32.200","16,40","-0,43%"
"PMAM3","Paranapanema","31.200","3,92","+2,35%"
"LVTC3","WDC Networks","30.800","3,90","-2,74%"
"IGTI3","Iguatemi","30.400","2,88","-5,26%"
"IGTI3","Jereissati Participações","30.400","2,88","-5,26%"
"NINJ3","GetNinjas","28.100","5,03","-0,40%"
"BMEB4","Banco Mercantil do Brasil","27.600","22,94","+3,80%"
"RAPT3","Randon","25.900","10,61","-3,81%"
"ALUP4","Alupar","25.100","9,77","-1,31%"
"OSXB3","OSX Brasil","23.900","5,03","-0,20%"
"SNSY5","Sansuy","22.500","4,69","+4,45%"
"JFEN3","João Fortes","21.200","1,81","-4,23%"
"ENGI4","Energisa","18.300","8,40","-4,87%"
"BRIV4","Alfa Investimento","17.800","11,30","+0,00%"
"FRTA3","Pomi Frutas","16.000","1,47","+1,38%"
"HAGA4","Haga","15.800","1,07","-0,93%"
"ALPA3","Alpargatas","15.700","8,66","+0,58%"
"BRSR3","Banrisul","15.000","13,77","-2,96%"
"TELB4","Telebras","14.600","11,06","-2,04%"
"EPAR3","Embpar Participações","14.600","9,70","+2,11%"
"TASA3","Taurus","14.200","14,32","-0,83%"
"UCAS3","Unicasa","13.400","2,64","+0,00%"
"LOGN3","Log-In","13.200","36,43","-4,63%"
"SCAR3","São Carlos","11.800","26,59","-3,13%"
"BAHI3","Bahema","11.500","6,90","-9,69%"
"BEES3","Banestes","11.200","9,68","-1,22%"
"DOTZ3","Dotz","11.100","7,49","-6,14%"
"MWET4","Wetzel","10.800","5,71","-3,87%"
"COCE5","Coelce","10.000","40,50","-1,82%"
"ALUP3","Alupar","9.600","9,72","-0,82%"
"BRKM3","Braskem","9.100","18,24","-0,33%"
"BPAC3","Banco BTG Pactual","7.700","18,17","-3,81%"
"CEBR3","CEB","7.600","19,20","+0,05%"
"RPMG3","Refinaria de Manguinhos","7.600","2,07","+0,49%"
"CLSC4","Celesc","7.500","65,66","-0,05%"
"ATMP3","Atma","7.500","2,89","-2,69%"
"ENGI3","Energisa","7.300","16,85","-7,16%"
"CGRA4","Grazziotin","7.200","25,24","+0,12%"
"CEBR6","CEB","6.700","23,10","-0,86%"
"REDE3","Rede Energia","6.200","6,91","-1,29%"
"MGEL4","Mangels","5.900","14,18","+5,43%"
"ATOM3","ATOM","5.900","2,10","+0,00%"
"FHER3","Fertilizantes Heringer","5.700","6,05","-2,26%"
"NUTR3","Nutriplant","5.700","5,44","+0,55%"
"BPAC5","Banco BTG Pactual","5.600","9,53","-2,46%"
"RPAD3","Alfa Holdings","5.400","8,32","+1,22%"
"CGAS5","Comgás","5.300","113,50","-2,21%"
"WLMM4","WLM","5.300","27,57","-1,50%"
"BEES4","Banestes","5.200","10,00","-1,96%"
"UNIP3","Unipar","5.100","63,61","-0,76%"
"EKTR4","Elektro","5.100","39,02","+0,46%"
"HAGA3","Haga","4.600","2,48","-1,20%"
"CEDO3","Cedro Têxtil","4.200","29,50","-1,01%"
"RDNI3","RNI","4.100","4,43","-0,23%"
"EUCA3","Eucatex","4.000","16,10","-3,88%"
"CGRA3","Grazziotin","3.700","25,39","+0,44%"
"CEBR5","CEB","3.500","18,07","+1,52%"
"BAZA3","Banco da Amazônia","3.400","89,40","-0,67%"
"CEEB3","COELBA","3.100","39,98","+0,38%"
"HBTS5","Habitasul","3.000","33,00","-5,69%"
"FRIO3","Metalfrio","2.900","310,00","+0,65%"
"CRIV3","Alfa Financeira","2.900","6,05","+0,00%"
"VSTE3","LE LIS BLANC","2.700","17,10","-1,50%"
"PTNT4","Pettenati","2.700","7,90","+0,13%"
"TRPL3","Transmissão Paulista","2.600","34,33","+0,26%"
"RSUL4","Metalúrgica Riosulense","2.400","78,04","+0,18%"
"BMEB3","Banco Mercantil do Brasil","2.300","22,12","-1,25%"
"HOOT4","Hotéis Othon","2.300","2,81","-1,06%"
"MTSA4","METISA","2.100","49,10","-0,79%"
"TELB3","Telebras","2.100","14,72","-0,61%"
"NORD3","Nordon","2.000","12,70","-2,31%"
"EMAE4","EMAE","1.800","58,93","+2,68%"
"BMIN4","Banco Mercantil de Investimentos","1.700","15,00","-1,83%"
"CRPG5","Tronox Pigmentos","1.600","36,40","+0,00%"
"EALT4","Electro Aço Altona","1.500","10,09","+0,90%"
"CTSA3","Santanense","1.400","3,42","-3,39%"
"AFLT3","Afluente T","1.200","7,97","+0,38%"
"CRPG6","Tronox Pigmentos","1.100","36,29","-0,55%"
"WLMM3","WLM","1.100","24,29","+3,36%"
